# touch_trace  screen=800x480  portrait=0
# raw_range X[-35..4167] Y[-233..4335]
# calib_enabled=1 raw_range X[-35..4167] Y[-233..4335]
# bezel(UI) T=15 B=15 L=0 R=0
# columns: raw_x raw_y cal_x cal_y est_x est_y
1416 4095 275 453 276 454
1453 4095 282 453 283 454
1510 4095 293 453 294 454
1564 4095 304 453 304 454
1609 4095 312 453 312 454
1632 4095 316 453 317 454
1671 4095 324 453 324 454
1717 4095 333 453 333 454
1750 4095 339 453 339 454
1792 4095 347 453 347 454
1813 4095 351 453 351 454
1844 4095 357 453 357 454
1879 4095 363 453 364 454
1929 4095 373 453 373 454
1942 4095 375 453 376 454
1964 4095 380 453 380 454
1993 4095 385 453 386 454
2032 4095 393 453 393 454
2069 4095 400 453 400 454
2106 4095 407 453 407 454
2132 4095 412 453 412 454
2181 4095 421 453 421 454
2224 4095 429 453 430 454
2245 4095 433 453 434 454
2298 4095 443 453 444 454
2350 4095 453 453 454 454
2394 4095 461 453 462 454
2424 4095 467 453 468 454
2467 4095 475 453 476 454
2507 4095 483 453 483 454
2543 4095 490 453 490 454
2571 4095 495 453 496 454
2595 4095 500 453 500 454
2627 4095 506 453 506 454
2695 4095 519 453 519 454
2729 4095 525 453 526 454
2746 4095 528 453 529 454
2766 4095 532 453 533 454
2798 4095 538 453 539 454
2840 4095 546 453 547 454
2861 4095 550 453 551 454
2892 4095 556 453 557 454
2915 4095 560 453 561 454
2949 4095 567 453 568 454
2984 4095 574 453 574 454
3061 4095 588 453 589 454
3064 4095 589 453 590 454
3075 4095 591 453 592 454
3111 4095 598 453 598 454
3155 4095 606 453 607 454
3207 4095 616 453 617 454
3245 4095 623 453 624 454
3300 4095 634 453 634 454
3345 4095 642 453 643 454
3386 4095 650 453 651 454
3430 4095 658 453 659 454
3462 4095 664 453 665 454
3508 4095 673 453 674 454
3640 4095 698 453 699 454
3671 4095 704 453 705 454
3683 4095 706 453 707 454
3727 4095 715 453 716 454
3781 4095 725 453 726 454
3824 4095 733 453 734 454
3873 4095 743 453 744 454
3932 4095 754 453 755 454
3975 4095 762 453 763 454
4013 4095 769 453 770 454
4048 4095 776 453 777 454
4065 4095 779 453 780 454
4095 4095 785 453 786 454
4095 4061 785 450 786 451
4095 4076 785 451 786 452
4095 4085 785 452 786 453
4095 4089 785 453 786 454
4095 4091 785 453 786 454
4095 4095 785 453 786 454
4095 4052 785 449 786 450
4095 4013 785 445 786 446
4095 3999 785 443 786 444
4095 3964 785 440 786 441
4095 3917 785 435 786 436
4095 3869 785 430 786 431
4095 3751 785 417 786 418
4095 3724 785 414 786 415
4095 3691 785 411 786 412
4095 3650 785 407 786 408
4095 3618 785 403 786 404
4095 3580 785 399 786 400
4095 3539 785 395 786 396
4095 3100 785 349 786 350
4095 3073 785 346 786 347
4095 3065 785 345 786 346
4095 3053 785 344 786 345
4095 3016 785 340 786 341
4095 2953 785 334 786 334
4095 2959 785 334 786 335
4095 2963 785 335 786 335
4095 2923 785 330 786 331
4095 2860 785 324 786 325
4095 2811 785 319 786 319
4095 2750 785 312 786 313
4095 2708 785 308 786 309
4095 2651 785 302 786 303
4095 2600 785 297 786 297
4095 2543 785 291 786 291
4095 2470 785 283 786 284
4095 2434 785 279 786 280
4095 2416 785 277 786 278
4095 2395 785 275 786 276
4095 2344 785 270 786 270
4095 2311 785 266 786 267
4095 2294 785 264 786 265
4095 2242 785 259 786 260
4095 2186 785 253 786 254
4095 2158 785 250 786 251
4095 2124 785 247 786 247
4095 2107 785 245 786 245
4095 2076 785 242 786 242
4095 2069 785 241 786 241
4095 2065 785 240 786 241
4095 2011 785 235 786 235
4095 1984 785 232 786 232
4095 1959 785 229 786 230
4095 1954 785 229 786 229
4095 1884 785 221 786 222
4095 1841 785 217 786 217
4085 1807 783 213 784 214
4088 1790 783 212 784 212
4091 1752 784 208 785 208
4092 1749 784 207 785 208
4093 1713 784 204 785 204
4093 1671 784 199 785 200
4095 1508 785 182 786 182
4095 1453 785 176 786 177
4095 1460 785 177 786 177
4095 1341 785 165 786 165
4095 1323 785 163 786 163
4095 1300 785 160 786 161
4095 1196 785 149 786 150
4095 776 785 105 786 106
4095 677 785 95 786 95
4095 691 785 96 786 97
4095 685 785 96 786 96
4095 673 785 95 786 95
4095 659 785 93 786 93
4095 640 785 91 786 91
4095 621 785 89 786 89
4095 589 785 86 786 86
4095 563 785 83 786 83
4095 572 785 84 786 84
